"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109","Проверка разных вариантов невалидного токена 2. Запрос отклоняется, если токен невалиден: слишком длинный: 33 символа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","322","Пользователь не может выполнить действие без предварительного входа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.ActionTests","com.nordcodes.api.tests.ActionTests","actionShouldReturnErrorWhenUserIsNotLoggedIn"
"","215","Пользователь не входит, если пытается передать токен, который уже существует в системе","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.LoginTests","com.nordcodes.api.tests.LoginTests","secondLoginShouldReturnConflictWhenTokenAlreadyExists"
"","47","Проверка невалидного токена для разных действий 3. Запрос на выход пользователя отклоняется, если токен имеет неверный формат","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenIsInvalidForDifferentActions"
"","61","Запрос отклоняется, если не передан токен","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenIsMissing"
"","273","Пользователь не может выполнить действие после неуспешного входа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.ActionTests","com.nordcodes.api.tests.ActionTests","actionShouldReturnErrorAfterFailedLogin"
"","51","Проверка невалидного токена для разных действий 2. Запрос на выполнение действия отклоняется, если токен имеет неверный формат","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenIsInvalidForDifferentActions"
"","48","Проверка невалидного токена для разных действий 1. Запрос на вход пользователя отклоняется, если токен имеет неверный формат","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenIsInvalidForDifferentActions"
"","53","Проверка запросов с неверным ключом доступа 3. Запрос на выход пользователя отклоняется, если ключ доступа неверный","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsInvalid"
"","277","Проверка разных вариантов невалидного токена 1. Запрос отклоняется, если токен невалиден: слишком короткий: 31 символ","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","222","Запрос отклоняется, если передан неизвестный тип действия","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenActionIsUnknown"
"","390","Пользователь успешно входит, если внешний сервис подтвердил токен","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.LoginTests","com.nordcodes.api.tests.LoginTests","loginShouldReturnOkWhenExternalServiceConfirmedLogin"
"","2283","Пользователь не может выйти, если активной сессии нет","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.SessionLifecycleTests","com.nordcodes.api.tests.SessionLifecycleTests","logoutShouldReturnErrorWhenUserIsNotLoggedIn"
"","49","Проверка разных вариантов невалидного токена 5. Запрос отклоняется, если токен невалиден: содержит спецсимволы","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","70","Проверка разных вариантов невалидного токена 3. Запрос отклоняется, если токен невалиден: содержит строчные буквы","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","63","Проверка запросов без ключа доступа 1. Запрос на вход пользователя отклоняется, если ключ доступа не передан","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsMissing"
"","685","После выхода пользователь больше не может выполнять защищённые действия","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.SessionLifecycleTests","com.nordcodes.api.tests.SessionLifecycleTests","actionShouldBecomeUnavailableAfterLogout"
"","103","Пользователь получает ошибку, если внешний сервис не смог выполнить действие","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.ActionTests","com.nordcodes.api.tests.ActionTests","actionShouldReturnErrorWhenExternalServiceReturnsError"
"","54","Проверка запросов без ключа доступа 3. Запрос на выход пользователя отклоняется, если ключ доступа не передан","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsMissing"
"","152","Пользователь не входит, если внешний сервис отклонил токен","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.LoginTests","com.nordcodes.api.tests.LoginTests","loginShouldReturnErrorWhenExternalServiceRejectedLogin"
"","58","Запрос отклоняется, если не передан тип действия","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenActionIsMissing"
"","142","Пользователь может выполнить действие после успешного входа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.ActionTests","com.nordcodes.api.tests.ActionTests","actionShouldReturnOkWhenUserSuccessfullyLoggedIn"
"","71","Проверка разных вариантов невалидного токена 4. Запрос отклоняется, если токен невалиден: содержит символы вне допустимого диапазона","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","73","Проверка запросов с неверным ключом доступа 1. Запрос на вход пользователя отклоняется, если ключ доступа неверный","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsInvalid"
"","52","Проверка запросов с неверным ключом доступа 2. Запрос на выполнение действия отклоняется, если ключ доступа неверный","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsInvalid"
"","102","Пользователь может выйти после успешного входа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.SessionLifecycleTests","com.nordcodes.api.tests.SessionLifecycleTests","logoutShouldReturnOkAfterSuccessfulLogin"
"","71","Проверка запросов без ключа доступа 2. Запрос на выполнение действия отклоняется, если ключ доступа не передан","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsMissing"
